id,model,makeId,typeId
199,A1 1.2 TFSI ATTRACTION,7,1
200,A1 1.4 TFSI STRONIC,7,1
201,A1 1.4T FSI,7,1
202,A1 1.4T FSI SLINE,7,1
203,A1 SPORTBACK 1.0 TFSI,7,1
204,A1 SPORTBACK 1.4 TFSI,7,1
205,A1 SPORTBACK 30 TFSI,7,1
206,A1 SPORTBACK 35 TFSI,7,1
207,A3  SPORTBACK 1.9 TDI,7,1
208,A3 1.4,7,1
209,A3 1.4 T FSI,7,1
210,A3 1.4 T FSI STRONIC,7,1
211,A3 1.4 TFSI MANUAL (150CV),7,1
212,A3 1.6,7,1
213,A3 1.6 MANUAL,7,1
214,A3 1.8,7,1
215,A3 1.8 T,7,1
216,A3 1.8 T FSI,7,1
217,A3 1.8 T FSI QUATTRO,7,1
218,A3 1.8T QUATTRO,7,1
219,A3 1.9 TDI,7,1
220,A3 2.0 FSI,7,1
221,A3 2.0 T,7,1
222,A3 2.0 TDI,7,1
223,A3 2.0 TDI MANUAL,7,1
224,A3 2.0 TDI QUATTRO,7,1
225,A3 2.0 TFSI,7,1
226,A3 2.0T FSI,7,1
227,A3 3.2 V6 QUATTRO,7,1
228,A3 CABRIO 1.8 T FSI,7,1
229,A3 SEDAN 1.4 TFSI S-TRONIC,7,1
230,A3 SEDAN 2.0TFSI S-TRONIC,7,1
231,A3 SEDAN 35 TFSI S TRONIC,7,1
232,A3 SEDAN 40 TFSI S TRONIC,7,1
233,A3 SPORTBACK 1.4 T FSI,7,1
234,A3 SPORTBACK 1.4 TFSI,7,1
235,A3 SPORTBACK 1.6,7,1
236,A3 SPORTBACK 1.6 MANUAL,7,1
237,A3 SPORTBACK 1.6 S-,7,1
238,A3 SPORTBACK 1.8 T FSI,7,1
239,A3 SPORTBACK 1.8 TFSI,7,1
240,A3 SPORTBACK 2.0 FSI,7,1
241,A3 SPORTBACK 2.0 T FSI,7,1
242,A3 SPORTBACK 2.0 TDI,7,1
243,A3 SPORTBACK 2.0 TDI S-,7,1
244,A3 SPORTBACK 2.0 TFSI,7,1
245,A3 SPORTBACK 2.0 TFSI S-,7,1
246,A3 SPORTBACK 2.0T FSI S-,7,1
247,A3 SPORTBACK 2.0TDI,7,1
248,A3 SPORTBACK 3.2 V6,7,1
249,A3 SPORTBACK 35 TFSI S,7,1
250,A3 SPORTBACK 40 TFSI S,7,1
251,A4 1.6,7,1
252,A4 1.8,7,1
253,A4 1.8 T,7,1
254,A4 1.8 T FSI,7,1
255,A4 1.8 T FSI MANUAL,7,1
256,A4 1.8 T FSI MULTITRONIC,7,1
257,A4 1.8 T QUATTRO,7,1
258,A4 1.8 T STANDARD,7,1
259,A4 1.8 TFSI ATTRACTION,7,1
260,A4 1.8 TFSI MANUAL,7,1
261,A4 1.8 TFSI MANUAL STD,7,1
262,A4 1.8 TFSI MULTITRONIC,7,1
263,A4 1.8T FSI MULTITRONIC,7,1
264,A4 1.8T MANUAL,7,1
265,A4 1.8T MULTITRONIC,7,1
266,A4 1.9 TDI,7,1
267,A4 1.9 TDI MULTITRONIC,7,1
268,A4 1.9 TDI QUATTRO,7,1
269,A4 2.0 QUATTRO,7,1
270,A4 2.0 T FSI QUATTRO,7,1
271,A4 2.0 TDI,7,1
272,A4 2.0 TDI ATTRACTION,7,1
273,A4 2.0 TDI MANUAL,7,1
274,A4 2.0 TDI MULTITRONIC,7,1
275,A4 2.0 TFSI 252 CV S-TRONIC,7,1
276,A4 2.0T FSI,7,1
277,A4 2.0T QUATTRO,7,1
278,A4 2.0T SLINE,7,1
279,A4 2.4,7,1
280,A4 2.4 QUATTRO,7,1
281,A4 2.5 TDI QUATTRO,7,1
282,A4 2.5TDI,7,1
283,A4 2.6 QUATTRO,7,1
284,A4 2.8,7,1
285,A4 2.8 QUATTRO,7,1
286,A4 3.0,7,1
287,A4 3.0 CABRIO,7,1
288,A4 3.0 QUATTRO,7,1
289,A4 3.0 T FSI QUATTRO,7,1
290,A4 3.0 TDI QUATTRO,7,1
291,A4 3.2 FSI QUATTRO,7,1
292,A4 3.2 QUATTRO,7,1
293,A4 40 TFSI,7,1
294,A4 ALLROAD 2.0T FSI,7,1
295,A4 ATTRACTION 1.8 TFSI,7,1
296,A4 ATTRACTION 2.0 TDI,7,1
297,A4 AVANT 1.8 TFSI MANUAL,7,1
298,A4 AVANT 1.8T FSI,7,1
299,A4 AVANT 1.8T,7,1
300,A4 AVANT 1.9 TDI,7,1
301,A4 AVANT 2.0 5V,7,1
302,A4 AVANT 2.0 TDI,7,1
303,A4 AVANT 2.0T QUATTRO,7,1
304,A4 AVANT ATTRACTION 1.8,7,1
305,A4 TDI,7,1
306,A5 2.0T FSI,7,1
307,A5 2.0T FSI QUATTRO,7,1
308,A5 3.0T FSI QUATTRO,7,1
309,A5 3.2 QUATTRO,7,1
310,A5 CABRIO 3.0T FSI,7,1
311,A5 CABRIO 3.2 FSI QUATTRO,7,1
312,A5 SPORTBACK 1.8 TFSI,7,1
313,A5 SPORTBACK 2.0 TDI,7,1
314,A5 SPORTBACK 2.0T FSI,7,1
315,A5 SPORTBACK 3.0T FSI,7,1
316,A5 SPORTBACK 3.2 FSI,7,1
317,A6 2.4,7,1
318,A6 2.4 QUATTRO,7,1
319,A6 2.5 TDI,7,1
320,A6 2.5 TDI QUATTRO,7,1
321,A6 2.7 T QUATTRO,7,1
